text,label
I am getting stressed with deadlines,sadness
I feel more confident now,joy
Assignments are frustrating,anger
I am upset about my score,anger
I am feeling okay today,neutral
The feedback was harsh,anger
I'm understanding the concepts better,joy
I feel tired all the time,sadness
The professor is supportive,joy
I'm falling behind,fear
I can't stand these mistakes right now?,anger
I feel composed at the moment,neutral
I'm thrilled with my progress at the moment,joy
I am scared of failing this exam these days,fear
I feel unbothered currently!!,neutral
I feel mad and agitated?,anger
I feel drained and tired at the moment,sadness
I feel nervous about the results today!!,fear
I feel hopeless today...,sadness
I am feeling upbeat and positive at the moment!!,joy
I'm annoyed by everything at the moment?,anger
Everything is going well for me at the moment!,joy
I am okay today right now!,neutral
I feel gloomy and sad,sadness
I'm concerned about my future!,fear
I feel average and stable currently,neutral
I have no strong feelings currently?,neutral
I am neither happy nor sad right now!!,neutral
I feel average and stable currently!!,neutral
I feel hopeless currently,sadness
Everything is usual at the moment...,neutral
I'm frustrated and discouraged these days!,sadness
I finally accomplished my goal currently?,joy
I feel inspired today,joy
I'm relaxed and steady at the moment.,neutral
I feel balanced and calm right now.,neutral
I miss my friends and support today,sadness
I have no strong feelings,neutral
I'm furious about this delay,anger
I am confident and proud these days.,joy
I feel average and stable...,neutral
I'm very happy right now at the moment?,joy
I'm uneasy and worried!,fear
I feel content and satisfied currently,joy
I'm unhappy with my results!,sadness
I feel lonely currently.,sadness
I feel content and satisfied.,joy
I'm frightened about what might happen today?,fear
I can't stand these mistakes,anger
I am frustrated and enraged right now?,anger
I am frustrated and enraged,anger
I finally accomplished my goal these days...,joy
I am concerned about my future right now!!,fear
I feel very angry.,anger
These results make me furious!,anger
I feel hopeless currently...,sadness
I feel lonely...,sadness
I finally accomplished my goal these days!,joy
I feel apprehensive!!,fear
I feel apprehensive!,fear
I feel unbothered right now,neutral
I'm relaxed and steady currently,neutral
I feel nervous about the results at the moment!,fear
Everything is usual today!!,neutral
I feel apprehensive,fear
I am concerned about my future!!,fear
I fear I might make mistakes these days!,fear
I am uneasy and worried today.,fear
I am scared of failing this exam at the moment.,fear
This makes me so cheerful.,joy
I feel lonely!,sadness
I am furious about this delay currently,anger
